name,sub_type,n_distinct,n_miss,n_negative,n_zeros,25%,50%,75%,count,max,mean,min,std,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9
AMT_GOODS_PRICE,float64,1002 (0.33%),278 (0.09%),0 (0.00%),0 (0.00%),238500.0,450000.0,679500.0,307233.0,4050000.0,538396.2074288895,40500.0,369446.4605400129,225000.0,1206000.0,450000.0,1764000.0,180000.0,225000.0,481500.0,630000.0,679500.0,675000.0
NAME_TYPE_SUITE,object,7 (0.00%),1292 (0.42%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unaccompanied,Unaccompanied,Unaccompanied,Unaccompanied,Unaccompanied,Unaccompanied,Unaccompanied,Unaccompanied,Family,Family
NAME_INCOME_TYPE,object,8 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State servant,Working,Working,Commercial associate,Working,Pensioner,Working,Working,Working,Working
NAME_EDUCATION_TYPE,object,5 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Higher education,Incomplete higher,Secondary / secondary special,Secondary / secondary special,Secondary / secondary special,Secondary / secondary special,Secondary / secondary special,Secondary / secondary special,Secondary / secondary special,Secondary / secondary special
NAME_FAMILY_STATUS,object,6 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Married,Married,Married,Married,Separated,Married,Single / not married,Married,Married,Married
NAME_HOUSING_TYPE,object,6 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,House / apartment,House / apartment,House / apartment,House / apartment,House / apartment,House / apartment,House / apartment,House / apartment,House / apartment,With parents
REGION_POPULATION_RELATIVE,float64,81 (0.03%),0 (0.00%),0 (0.00%),0 (0.00%),0.010006,0.01885,0.028663,307511.0,0.072508,0.02086811205778947,0.00029,0.013831280122699869,0.02461,0.018634,0.015221,0.008019,0.0105,0.008865999999999999,0.018634,0.0105,0.01885,0.030755
DAYS_BIRTH,int64,17460 (5.68%),0 (0.00%),307511 (100.00%),0 (0.00%),-19682.0,-15750.0,-12413.0,307511.0,-7489.0,-16036.995066843137,-25229.0,4363.988631785526,-21882,-14026,-9905,-11946,-10493,-24264,-15251,-14263,-11179,-10477
DAYS_EMPLOYED,int64,12574 (4.09%),0 (0.00%),252135 (81.99%),2 (0.00%),-2760.0,-1213.0,-289.0,307511.0,365243.0,63815.04590404896,-17912.0,141275.7665186621,-2987,-270,-2691,-1526,-656,365243,-1984,-481,-687,-1400
DAYS_REGISTRATION,float64,15688 (5.10%),0 (0.00%),307431 (99.97%),80 (0.03%),-7479.5,-4504.0,-2010.0,307511.0,0.0,-4986.120327538419,-24672.0,3522.88632096305,-11125.0,-1625.0,-4725.0,-1513.0,-2389.0,-87.0,-6933.0,-1315.0,-1491.0,-5034.0
DAYS_ID_PUBLISH,int64,6168 (2.01%),0 (0.00%),307495 (99.99%),16 (0.01%),-4299.0,-3254.0,-1720.0,307511.0,0.0,-2994.2023732484367,-7197.0,1509.450419003031,-3984,-4768,-2549,-4392,-2526,-4388,-4396,-4830,-2742,-1625
OWN_CAR_AGE,float64,62 (0.02%),202929 (65.99%),0 (0.00%),2134 (0.69%),5.0,9.0,15.0,104582.0,91.0,12.061090818687727,0.0,11.944811582242346,4.0,1.0,,,,,,18.0,,
FLAG_MOBIL,int64,2 (0.00%),0 (0.00%),0 (0.00%),1 (0.00%),1.0,1.0,1.0,307511.0,1.0,0.9999967480838083,0.0,0.0018033070153584427,1,1,1,1,1,1,1,1,1,1
FLAG_EMP_PHONE,int64,2 (0.00%),0 (0.00%),0 (0.00%),55386 (18.01%),1.0,1.0,1.0,307511.0,1.0,0.8198893698111612,0.0,0.38428019893910226,1,1,1,1,1,0,1,1,1,1
FLAG_WORK_PHONE,int64,2 (0.00%),0 (0.00%),0 (0.00%),246203 (80.06%),0.0,0.0,0.0,307511.0,1.0,0.1993684778755882,0.0,0.399526228149481,1,0,0,0,1,0,0,0,1,1
FLAG_CONT_MOBILE,int64,2 (0.00%),0 (0.00%),0 (0.00%),574 (0.19%),1.0,1.0,1.0,307511.0,1.0,0.9981334001060125,0.0,0.04316389414260104,1,1,1,1,1,1,1,1,1,1
FLAG_PHONE,int64,2 (0.00%),0 (0.00%),0 (0.00%),221080 (71.89%),0.0,0.0,1.0,307511.0,1.0,0.28106636835755466,0.0,0.44952054685618487,1,0,0,0,1,0,0,0,1,0
FLAG_EMAIL,int64,2 (0.00%),0 (0.00%),0 (0.00%),290069 (94.33%),0.0,0.0,0.0,307511.0,1.0,0.0567199222141647,0.0,0.23130703972354083,0,0,0,0,0,0,0,0,0,0
OCCUPATION_TYPE,object,18 (0.01%),96391 (31.35%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Drivers,Laborers,,Laborers,,Laborers,,Managers,Laborers
CNT_FAM_MEMBERS,float64,17 (0.01%),2 (0.00%),0 (0.00%),0 (0.00%),2.0,2.0,3.0,307509.0,20.0,2.152665450442101,1.0,0.9106815691773334,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0
REGION_RATING_CLIENT,int64,3 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),2.0,2.0,2.0,307511.0,3.0,2.0524631639193394,1.0,0.5090339028159309,2,2,2,2,3,2,2,3,2,2
REGION_RATING_CLIENT_W_CITY,int64,3 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),2.0,2.0,2.0,307511.0,3.0,2.031520823645333,1.0,0.5027370329151815,2,2,2,2,3,2,2,3,2,2
WEEKDAY_APPR_PROCESS_START,object,7 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THURSDAY,MONDAY,WEDNESDAY,FRIDAY,WEDNESDAY,MONDAY,FRIDAY,MONDAY,TUESDAY,FRIDAY
HOUR_APPR_PROCESS_START,int64,24 (0.01%),0 (0.00%),0 (0.00%),40 (0.01%),10.0,12.0,14.0,307511.0,23.0,12.063418869568894,0.0,3.265832255439005,17,10,9,10,15,17,9,13,12,13
REG_REGION_NOT_LIVE_REGION,int64,2 (0.00%),0 (0.00%),0 (0.00%),302854 (98.49%),0.0,0.0,0.0,307511.0,1.0,0.015144173704355291,0.0,0.1221264762820422,0,0,0,0,0,0,0,0,0,0
REG_REGION_NOT_WORK_REGION,int64,2 (0.00%),0 (0.00%),0 (0.00%),291899 (94.92%),0.0,0.0,0.0,307511.0,1.0,0.05076891558350758,0.0,0.21952582879715415,0,0,0,1,1,0,0,0,0,0
LIVE_REGION_NOT_WORK_REGION,int64,2 (0.00%),0 (0.00%),0 (0.00%),295008 (95.93%),0.0,0.0,0.0,307511.0,1.0,0.04065870814377372,0.0,0.19749861882882908,0,0,0,1,1,0,0,0,0,0
REG_CITY_NOT_LIVE_CITY,int64,2 (0.00%),0 (0.00%),0 (0.00%),283472 (92.18%),0.0,0.0,0.0,307511.0,1.0,0.07817281333025486,0.0,0.26844377237329226,0,0,1,0,0,0,0,0,0,0
REG_CITY_NOT_WORK_CITY,int64,2 (0.00%),0 (0.00%),0 (0.00%),236644 (76.95%),0.0,0.0,0.0,307511.0,1.0,0.23045354475124466,0.0,0.42112383591502345,0,0,1,1,1,0,0,0,0,0
LIVE_CITY_NOT_WORK_CITY,int64,2 (0.00%),0 (0.00%),0 (0.00%),252296 (82.04%),0.0,0.0,0.0,307511.0,1.0,0.17955455252007246,0.0,0.38381661538643724,0,0,0,1,1,0,0,0,0,0
ORGANIZATION_TYPE,object,58 (0.02%),0 (0.00%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Business Entity Type 2,Business Entity Type 3,Business Entity Type 2,Business Entity Type 3,Self-employed,XNA,Self-employed,Business Entity Type 3,Trade: type 2,Medicine
EXT_SOURCE_1,float64,114584 (37.26%),173378 (56.38%),0 (0.00%),0 (0.00%),0.33400728867409263,0.5059979305057544,0.6750525982300696,134133.0,0.962692770561306,0.5021298056566621,0.014568132412445587,0.21106224927392553,,0.3569777836552319,,0.4949180654446097,,,,0.5392576763343839,0.6575317720639661,
EXT_SOURCE_2,float64,119831 (38.97%),660 (0.21%),0 (0.00%),0 (0.00%),0.3924574161782719,0.5659614260608526,0.6636170897493769,306851.0,0.8549996664047012,0.5143926741308463,8.173616518884397e-08,0.1910601549849387,0.5784756531591329,0.5152771000292551,0.4248161058463641,0.6670352420910267,0.0962461218101204,0.39473825561809134,0.7881138083280189,0.5579841354415206,0.5916561691175296,0.6675741251599911
EXT_SOURCE_3,float64,814 (0.26%),60965 (19.83%),0 (0.00%),0 (0.00%),0.3706496323299817,0.5352762504724826,0.6690566947824041,246546.0,0.8960095494948396,0.5108529061800121,0.0005272652387098817,0.19484436446376072,0.5971924268337128,0.5226973172821112,0.31547215492577346,,0.4170996682522097,0.6058362647264226,,0.7490217048463391,0.4956658291397297,0.7394117535524816
APARTMENTS_AVG,float64,2339 (0.76%),156061 (50.75%),0 (0.00%),751 (0.24%),0.0577,0.0876,0.1485,151450.0,1.0,0.11744049917466033,0.0,0.10824029130030667,,0.1485,,,,0.2216,0.0629,0.0825,0.1031,0.1825
BASEMENTAREA_AVG,float64,3780 (1.23%),179943 (58.52%),0 (0.00%),14745 (4.79%),0.0442,0.0763,0.1122,127568.0,1.0,0.08844221905180052,0.0,0.08243815873569478,,0.0991,,,,0.0776,0.0756,0.0788,,0.1322
YEARS_BEGINEXPLUATATION_AVG,float64,285 (0.09%),150007 (48.78%),0 (0.00%),514 (0.17%),0.9767,0.9816,0.9866,157504.0,1.0,0.9777348581622732,0.0,0.05922331435835884,0.9856,0.9871,,,,0.9826,0.9831,0.9786,0.9771,0.9861
YEARS_BUILD_AVG,float64,149 (0.05%),204488 (66.50%),0 (0.00%),102 (0.03%),0.6872,0.7552,0.8232,103023.0,1.0,0.752471432592686,0.0,0.11327992663225028,,0.8232,,,,,0.7688,0.7076,0.6872,0.8096
COMMONAREA_AVG,float64,3181 (1.03%),214865 (69.87%),0 (0.00%),8442 (2.75%),0.0078,0.0211,0.0515,92646.0,1.0,0.04462071541135205,0.0,0.0760357450504098,,0.0889,,,,,,0.0079,,0.0378
ELEVATORS_AVG,float64,257 (0.08%),163891 (53.30%),0 (0.00%),85718 (27.87%),0.0,0.0,0.12,143620.0,1.0,0.07894151232418305,0.0,0.13457600110026235,0.08,0.16,,,,0.08,0.0,0.0,,0.2
ENTRANCES_AVG,float64,285 (0.09%),154828 (50.35%),0 (0.00%),323 (0.11%),0.069,0.1379,0.2069,152683.0,1.0,0.1497246700681123,0.0,0.1000491207603038,0.069,0.1379,,,,0.0345,0.1379,0.1379,0.2069,0.1724
FLOORSMAX_AVG,float64,403 (0.13%),153020 (49.76%),0 (0.00%),2938 (0.96%),0.1667,0.1667,0.3333,154491.0,1.0,0.2262819070368362,0.0,0.14464069954794426,0.3333,0.3333,,,,0.3333,0.1667,0.1667,0.1667,0.3333
FLOORSMIN_AVG,float64,305 (0.10%),208642 (67.85%),0 (0.00%),2320 (0.75%),0.0833,0.2083,0.375,98869.0,1.0,0.23189350049050692,0.0,0.161380288800189,,0.375,,,,,,0.2083,,0.375
LANDAREA_AVG,float64,3527 (1.15%),182590 (59.38%),0 (0.00%),15600 (5.07%),0.0187,0.0481,0.0856,124921.0,1.0,0.06633318417239835,0.0,0.0811836407017809,,0.1127,,,,0.0911,0.0151,0.0203,,0.1238
LIVINGAPARTMENTS_AVG,float64,1868 (0.61%),210199 (68.35%),0 (0.00%),418 (0.14%),0.0504,0.0756,0.121,97312.0,1.0,0.10077477495068154,0.0,0.09257613396049696,,0.121,,,,,0.0504,0.0672,0.0807,0.1488
LIVINGAREA_AVG,float64,5199 (1.69%),154350 (50.19%),0 (0.00%),284 (0.09%),0.0453,0.0745,0.1299,153161.0,1.0,0.10739901933259607,0.0,0.11056452318371773,0.0739,0.0915,,,,0.0582,0.0556,0.0703,0.0841,0.1824
NONLIVINGAPARTMENTS_AVG,float64,386 (0.13%),213514 (69.43%),0 (0.00%),54549 (17.74%),0.0,0.0,0.0039,93997.0,1.0,0.008808672617213057,0.0,0.047731662050336146,,0.0,,,,,0.0039,0.0,0.0154,0.0
NONLIVINGAREA_AVG,float64,3290 (1.07%),169682 (55.18%),0 (0.00%),58735 (19.10%),0.0,0.0036,0.0277,137829.0,1.0,0.02835775707579772,0.0,0.06952318332120722,,0.0,,,,0.2242,0.0188,0.0,0.0128,0.0022
APARTMENTS_MODE,float64,760 (0.25%),156061 (50.75%),0 (0.00%),976 (0.32%),0.0525,0.084,0.1439,151450.0,1.0,0.11423100693296864,0.0,0.10793603908753796,,0.1513,,,,0.2258,0.0641,0.084,0.105,0.1859
BASEMENTAREA_MODE,float64,3841 (1.25%),179943 (58.52%),0 (0.00%),16598 (5.40%),0.0407,0.0746,0.1124,127568.0,1.0,0.08754321224758604,0.0,0.08430717486923314,,0.1028,,,,0.0806,0.0785,0.0818,,0.1372
YEARS_BEGINEXPLUATATION_MODE,float64,221 (0.07%),150007 (48.78%),0 (0.00%),142 (0.05%),0.9767,0.9816,0.9866,157504.0,1.0,0.9770653729428284,0.0,0.06457543708049779,0.9856,0.9871,,,,0.9826,0.9831,0.9786,0.9772,0.9861
YEARS_BUILD_MODE,float64,154 (0.05%),204488 (66.50%),0 (0.00%),103 (0.03%),0.6994,0.7648,0.8236,103023.0,1.0,0.759637322733821,0.0,0.11011102734194693,,0.8301,,,,,0.7779,0.7190000000000001,0.6994,0.8171
COMMONAREA_MODE,float64,3128 (1.02%),214865 (69.87%),0 (0.00%),9690 (3.15%),0.0072,0.019,0.049,92646.0,1.0,0.042553137750146755,0.0,0.07444452253838403,,0.0897,,,,,,0.008,,0.0382
ELEVATORS_MODE,float64,26 (0.01%),163891 (53.30%),0 (0.00%),89498 (29.10%),0.0,0.0,0.1208,143620.0,1.0,0.07448973610915821,0.0,0.1322561441504732,0.0806,0.1611,,,,0.0806,0.0,0.0,,0.2014
ENTRANCES_MODE,float64,30 (0.01%),154828 (50.35%),0 (0.00%),387 (0.13%),0.069,0.1379,0.2069,152683.0,1.0,0.14519265864574382,0.0,0.1009769881602024,0.069,0.1379,,,,0.0345,0.1379,0.1379,0.2069,0.1724
FLOORSMAX_MODE,float64,25 (0.01%),153020 (49.76%),0 (0.00%),3415 (1.11%),0.1667,0.1667,0.3333,154491.0,1.0,0.22231504747867964,0.0,0.1437094065953209,0.3333,0.3333,,,,0.3333,0.1667,0.1667,0.1667,0.3333
FLOORSMIN_MODE,float64,25 (0.01%),208642 (67.85%),0 (0.00%),2517 (0.82%),0.0833,0.2083,0.375,98869.0,1.0,0.22805849255070593,0.0,0.16115977149541197,,0.375,,,,,,0.2083,,0.375
LANDAREA_MODE,float64,3563 (1.16%),182590 (59.38%),0 (0.00%),17453 (5.68%),0.0166,0.0458,0.0841,124921.0,1.0,0.06495768445657842,0.0,0.08175027780844098,,0.1153,,,,0.0932,0.0155,0.0207,,0.1266
LIVINGAPARTMENTS_MODE,float64,736 (0.24%),210199 (68.35%),0 (0.00%),519 (0.17%),0.0542,0.0771,0.1313,97312.0,1.0,0.1056448567494209,0.0,0.09788044657878618,,0.1322,,,,,0.0551,0.0735,0.0882,0.1625
LIVINGAREA_MODE,float64,5301 (1.72%),154350 (50.19%),0 (0.00%),444 (0.14%),0.0427,0.0731,0.1252,153161.0,1.0,0.1059750504371198,0.0,0.11184526587783401,0.077,0.0953,,,,0.0606,0.0579,0.0733,0.0876,0.1901
NONLIVINGAPARTMENTS_MODE,float64,167 (0.05%),213514 (69.43%),0 (0.00%),59255 (19.27%),0.0,0.0,0.0039,93997.0,1.0,0.008076387544283468,0.0,0.04627626621983214,,0.0,,,,,0.0039,0.0,0.0156,0.0
NONLIVINGAREA_MODE,float64,3327 (1.08%),169682 (55.18%),0 (0.00%),67126 (21.83%),0.0,0.0011,0.0231,137829.0,1.0,0.02702231968598884,0.0,0.07025385904395566,,0.0,,,,0.2373,0.0199,0.0,0.0136,0.0023
APARTMENTS_MEDI,float64,1148 (0.37%),156061 (50.75%),0 (0.00%),771 (0.25%),0.0583,0.0864,0.1489,151450.0,1.0,0.11784992076592354,0.0,0.10907590600115753,,0.1499,,,,0.2238,0.0635,0.0833,0.1041,0.1842
BASEMENTAREA_MEDI,float64,3772 (1.23%),179943 (58.52%),0 (0.00%),14991 (4.87%),0.0437,0.0758,0.1116,127568.0,1.0,0.08795485466574764,0.0,0.0821787495146414,,0.0991,,,,0.0776,0.0756,0.0788,,0.1322
YEARS_BEGINEXPLUATATION_MEDI,float64,245 (0.08%),150007 (48.78%),0 (0.00%),548 (0.18%),0.9767,0.9816,0.9866,157504.0,1.0,0.9777522640694213,0.0,0.05989731850511867,0.9856,0.9871,,,,0.9826,0.9831,0.9786,0.9771,0.9861
YEARS_BUILD_MEDI,float64,151 (0.05%),204488 (66.50%),0 (0.00%),101 (0.03%),0.6914,0.7585,0.8256,103023.0,1.0,0.7557462721917102,0.0,0.11206630964404966,,0.8256,,,,,0.7719,0.7115,0.6914,0.8121
COMMONAREA_MEDI,float64,3202 (1.04%),214865 (69.87%),0 (0.00%),8691 (2.83%),0.0079,0.0208,0.0513,92646.0,1.0,0.044595101785290435,0.0,0.07614426224091592,,0.0895,,,,,,0.008,,0.0381
ELEVATORS_MEDI,float64,46 (0.01%),163891 (53.30%),0 (0.00%),87026 (28.30%),0.0,0.0,0.12,143620.0,1.0,0.07807784431137002,0.0,0.1344671476907157,0.08,0.16,,,,0.08,0.0,0.0,,0.2
ENTRANCES_MEDI,float64,46 (0.01%),154828 (50.35%),0 (0.00%),329 (0.11%),0.069,0.1379,0.2069,152683.0,1.0,0.14921278072876187,0.0,0.10036839449766627,0.069,0.1379,,,,0.0345,0.1379,0.1379,0.2069,0.1724
FLOORSMAX_MEDI,float64,49 (0.02%),153020 (49.76%),0 (0.00%),2995 (0.97%),0.1667,0.1667,0.3333,154491.0,1.0,0.22589659009280993,0.0,0.14506702591938314,0.3333,0.3333,,,,0.3333,0.1667,0.1667,0.1667,0.3333
FLOORSMIN_MEDI,float64,47 (0.02%),208642 (67.85%),0 (0.00%),2351 (0.76%),0.0833,0.2083,0.375,98869.0,1.0,0.23162493804929254,0.0,0.1619335414572564,,0.375,,,,,,0.2083,,0.375
LANDAREA_MEDI,float64,3560 (1.16%),182590 (59.38%),0 (0.00%),15919 (5.18%),0.0187,0.0487,0.0868,124921.0,1.0,0.06716874904939986,0.0,0.08216701028006211,,0.1147,,,,0.0927,0.0154,0.0206,,0.126
LIVINGAPARTMENTS_MEDI,float64,1097 (0.36%),210199 (68.35%),0 (0.00%),433 (0.14%),0.0513,0.0761,0.1231,97312.0,1.0,0.10195447324073251,0.0,0.09364233271154587,,0.1231,,,,,0.0513,0.0684,0.0821,0.1513
LIVINGAREA_MEDI,float64,5281 (1.72%),154350 (50.19%),0 (0.00%),299 (0.10%),0.0457,0.0749,0.1303,153161.0,1.0,0.10860673604899224,0.0,0.11226025867535097,0.0752,0.0931,,,,0.0592,0.0566,0.0716,0.0856,0.1857
NONLIVINGAPARTMENTS_MEDI,float64,214 (0.07%),213514 (69.43%),0 (0.00%),56097 (18.24%),0.0,0.0,0.0039,93997.0,1.0,0.008651013330213151,0.0,0.047414727907790825,,0.0,,,,,0.0039,0.0,0.0155,0.0
NONLIVINGAREA_MEDI,float64,3323 (1.08%),169682 (55.18%),0 (0.00%),60954 (19.82%),0.0,0.0031,0.0266,137829.0,1.0,0.028235920597262987,0.0,0.07016648150680234,,0.0,,,,0.2289,0.0192,0.0,0.0131,0.0022
FONDKAPREMONT_MODE,object,4 (0.00%),210295 (68.39%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,reg oper account,,,,,reg oper spec account,reg oper account,reg oper account,reg oper account
HOUSETYPE_MODE,object,3 (0.00%),154297 (50.18%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,block of flats,,,,block of flats,block of flats,block of flats,block of flats,block of flats
TOTALAREA_MODE,float64,5116 (1.66%),148431 (48.27%),0 (0.00%),582 (0.19%),0.0412,0.0688,0.1276,159080.0,1.0,0.10254666268544003,0.0,0.10746232414961776,0.0581,0.1206,,,,0.0945,0.0475,0.0574,0.0689,0.1644
WALLSMATERIAL_MODE,object,7 (0.00%),156341 (50.84%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Panel,,,,"Stone, brick","Stone, brick",Panel,"Stone, brick",Panel
EMERGENCYSTATE_MODE,object,2 (0.00%),145755 (47.40%),0 (0.00%),0 (0.00%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,,,,No,No,No,No,No
OBS_30_CNT_SOCIAL_CIRCLE,float64,33 (0.01%),1021 (0.33%),0 (0.00%),163910 (53.30%),0.0,0.0,2.0,306490.0,348.0,1.4222454239942575,0.0,2.400988746111826,0.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,9.0,0.0
DEF_30_CNT_SOCIAL_CIRCLE,float64,10 (0.00%),1021 (0.33%),0 (0.00%),271324 (88.23%),0.0,0.0,0.0,306490.0,34.0,0.1434206662533851,0.0,0.4466984293825373,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
OBS_60_CNT_SOCIAL_CIRCLE,float64,33 (0.01%),1021 (0.33%),0 (0.00%),164666 (53.55%),0.0,0.0,2.0,306490.0,344.0,1.4052921791901856,0.0,2.3798033519768955,0.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,9.0,0.0
DEF_60_CNT_SOCIAL_CIRCLE,float64,9 (0.00%),1021 (0.33%),0 (0.00%),280721 (91.29%),0.0,0.0,0.0,306490.0,24.0,0.10004894123788705,0.0,0.36229080397523755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DAYS_LAST_PHONE_CHANGE,float64,3773 (1.23%),1 (0.00%),269838 (87.75%),37672 (12.25%),-1570.0,-757.0,-274.0,307510.0,0.0,-962.8587883320868,-4292.0,826.8084870404405,-3143.0,-2.0,-1523.0,-1224.0,0.0,-201.0,-1128.0,-2959.0,-1634.0,-1258.0
FLAG_DOCUMENT_2,int64,2 (0.00%),0 (0.00%),0 (0.00%),307498 (100.00%),0.0,0.0,0.0,307511.0,1.0,4.2274910491006824e-05,0.0,0.006501789045473359,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_3,int64,2 (0.00%),0 (0.00%),0 (0.00%),89171 (29.00%),0.0,1.0,1.0,307511.0,1.0,0.7100233812774177,0.0,0.45375196843225896,1,1,1,1,1,0,1,1,1,1
FLAG_DOCUMENT_4,int64,2 (0.00%),0 (0.00%),0 (0.00%),307486 (99.99%),0.0,0.0,0.0,307511.0,1.0,8.129790479039775e-05,0.0,0.009016183216502365,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_5,int64,2 (0.00%),0 (0.00%),0 (0.00%),302863 (98.49%),0.0,0.0,0.0,307511.0,1.0,0.015114906458630749,0.0,0.1220102228137952,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_6,int64,2 (0.00%),0 (0.00%),0 (0.00%),280433 (91.19%),0.0,0.0,0.0,307511.0,1.0,0.0880553866365756,0.0,0.2833758928634348,0,0,0,0,0,1,0,0,0,0
FLAG_DOCUMENT_7,int64,2 (0.00%),0 (0.00%),0 (0.00%),307452 (99.98%),0.0,0.0,0.0,307511.0,1.0,0.00019186305530533867,0.0,0.013850157676953384,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_8,int64,2 (0.00%),0 (0.00%),0 (0.00%),282487 (91.86%),0.0,0.0,0.0,307511.0,1.0,0.08137595077899652,0.0,0.27341204894479115,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_9,int64,2 (0.00%),0 (0.00%),0 (0.00%),306313 (99.61%),0.0,0.0,0.0,307511.0,1.0,0.00389579559755586,0.0,0.062294710800275266,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_10,int64,2 (0.00%),0 (0.00%),0 (0.00%),307504 (100.00%),0.0,0.0,0.0,307511.0,1.0,2.276341334131137e-05,0.0,0.004771055354074948,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_11,int64,2 (0.00%),0 (0.00%),0 (0.00%),306308 (99.61%),0.0,0.0,0.0,307511.0,1.0,0.003912055178513939,0.0,0.06242406326687307,0,0,0,0,0,0,0,0,0,0
FLAG_DOCUMENT_12,int64,2 (0.00%),0 (0.00%),0 (0.00%),307509 (100.00%),0.0,0.0,0.0,307511.0,1.0,6.503832383231819e-06,0.0,0.0025502570916056816,0,0,0,0,0,0,0,0,0,0
